country,year,suicides_no,population,gdp_for_year,gdp_per_capita,population_change,gdp_per_capita_change,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years,mean_age,female
Argentina,2009,2884,37158001,332976484578,8961,424481,-0.09842651489789087,0.18242773608838644,0.17223792528559326,0.25010653829305834,0.18806280779205534,0.15696261486187052,0.05020237767903607,36.42088685018336,0.5128022091392914
Argentina,2010,2943,37578454,423627422092,11273,420453,0.20509181229486384,0.1813068201262351,0.1715931155656377,0.2515297196632943,0.18682873435932196,0.15841282347592053,0.05032878680959041,36.53583500268532,0.5127734632191095
Argentina,2011,2912,38015739,530163281575,13946,437285,0.19166786175247383,0.18002569935573262,0.1705498346355966,0.25335848396896876,0.1858323469655555,0.15933737339684492,0.0508962616773016,36.659575787807256,0.512723743184369
Argentina,2012,3248,38441778,545982375701,14203,426039,0.018094768710835738,0.17849517782450125,0.1689972300448746,0.25582050341167883,0.1849504723740926,0.16045683422863533,0.051279782116217414,36.78972353984251,0.5126731651173887
Argentina,2013,2987,38859125,552025140252,14206,417347,2.1117837533436576e-4,0.17682598360102036,0.16721521650320229,0.2586269505553715,0.18406919867598664,0.1617329777754903,0.05152967288892892,36.92454667983389,0.5126219388624937
Argentina,2014,3231,39276555,526319673732,13400,417430,-0.060149253731343284,0.17518792063102276,0.16559991068463106,0.26133901000227744,0.18305897755034778,0.16311537506280782,0.05169880606891312,37.05949885370548,0.5125654732193289
Argentina,2015,3073,39699624,594749285413,14981,423069,0.10553367598958681,0.17367371036058174,0.16437206055150547,0.2636686684992281,0.18190031220446823,0.16455425371283114,0.0518309946713853,37.190390266668516,0.5125018060624453
Armenia,1990,93,2983700,2256838858,756,NA,NA,0.17796695378221672,0.21040989375607466,0.23149110165231088,0.2180178972416798,0.13670945470389115,0.02540469886382679,33.51442839427556,0.5118141904346952
Armenia,1991,80,3230800,2068526522,640,247100,-0.18125,0.18004828525442615,0.20301473319301722,0.23053113779868764,0.22152408072304072,0.13959390862944163,0.025287854401386655,33.50362139408196,0.5184783954438529
Armenia,1992,83,3308700,1272577456,385,77900,-0.6623376623376623,0.17843866171003717,0.19750959591380302,0.23308247952368,0.22168827636231753,0.14461873243267748,0.024662254057484814,33.696164656813856,0.5188744824251217
Armenia,1993,106,3366600,1201313201,357,57900,-0.0784313725490196,0.17783520465751798,0.1905483276896572,0.2364106219925147,0.2217370641002792,0.14926038139369097,0.024208400166339926,33.88864135923484,0.51898057387275
Armenia,1994,112,3402500,1315158670,387,35900,0.07751937984496124,0.17807494489346068,0.18315944158706834,0.2408817046289493,0.22113152094048494,0.15326965466568698,0.023482733284349744,34.065833945628214,0.5189125642909626
Armenia,1995,130,3443200,1468317350,426,40700,0.09154929577464789,0.179135687732342,0.17506970260223048,0.24651486988847585,0.2201150092936803,0.15610478624535315,0.023059944237918215,34.23603043680297,0.5188197026022305
Armenia,1996,87,3486300,1596968913,458,43100,0.06986899563318777,0.1807647075696297,0.1680291426440639,0.252703439176204,0.21862719788887933,0.15721538593924791,0.02266012678197516,34.359206035051486,0.5185440151449962
Armenia,1997,77,3526700,1639492424,465,40400,0.015053763440860216,0.18255025944934358,0.16338219865596734,0.25970453965463464,0.21558397368644908,0.15612328805965917,0.022655740493946183,34.468766835852215,0.5181047438114952
Armenia,1998,66,3558000,1893726437,532,31300,0.12593984962406016,0.18476672287802137,0.160061832490163,0.26835300730747613,0.21031478358628444,0.15326025857223158,0.023243395165823497,34.613827993254645,0.5174536256323777
Armenia,1999,67,3580700,1845482181,515,22700,-0.03300970873786408,0.18814756891110676,0.1575390286815427,0.2778786270840897,0.2021671740162538,0.1493841986203815,0.02488340268662552,34.84039433630296,0.5168263188761973
Armenia,2000,61,3606500,1911563665,530,25800,0.02830188679245283,0.19384444752530153,0.15630112297241092,0.28737002634132813,0.18749480105365313,0.14612505198946346,0.028864550117842783,35.324136974906416,0.5168445861638707
Armenia,2001,60,3610516,2118467913,587,4016,0.09710391822827939,0.19601519561192915,0.1562931724994433,0.29290771734566473,0.18204433936866643,0.1432498845040432,0.029489690670253227,35.42825596119779,0.5166679776519478
Armenia,2002,74,3014844,2376335048,788,-595672,0.2550761421319797,0.1950644875821104,0.1424106852626537,0.29469385480641785,0.19004366395077157,0.14872444478055913,0.02906286361748734,35.47270273354111,0.5230207599464516
Armenia,2003,59,3024366,2807061009,928,9522,0.15086206896551724,0.19871338323470109,0.14417170408607952,0.29657786127737185,0.18215123434134625,0.14683209637986938,0.031553720680631905,35.69308741071682,0.5221378629438368
Armenia,2006,78,2764396,6384451606,2310,-259970,0.5982683982683983,0.20514173801438,0.14624026369593937,0.29584147857253446,0.1537898332945063,0.15311518320819448,0.0458715032144454,37.192372221635395,0.534637946227675
