country_year,suicides_no,population,gdp_for_year,country,year,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years,female
Cuba2015,1511,10832068,87132800000,Cuba,2015,0.13304587822011457,0.14029241692352742,0.34617000188698965,0.11424272816603441,0.2003914672618377,0.06585750754149623,0.5003833063086384
Cyprus1999,1,856733,10614455232,Cyprus,1999,0.18115678980499175,0.16710457050212843,0.28290610960474266,0.16665285450659656,0.15569027923518763,0.04648939634635295,0.4970475048819177
Cyprus2000,7,875229,10183317625,Cyprus,2000,0.18280815649390045,0.16618165074511929,0.2832630088811043,0.16365659730196325,0.1577952741511079,0.04629531242680487,0.49677627226702953
Cyprus2004,7,690616,17422375000,Cyprus,2004,0.16747367567504953,0.15070748433282752,0.29324979438646076,0.15033824875183893,0.18221413926118132,0.05601665759264193,0.5110365239148817
Cyprus2005,17,701263,18703146375,Cyprus,2005,0.16750776812693668,0.15339608677486194,0.2917963731153647,0.14546753500469867,0.18554094540849866,0.05629129156963935,0.5112005053738754
Cyprus2006,19,713426,20403713461,Cyprus,2006,0.16763616689046937,0.15610588904805825,0.29045899644812495,0.14047147146305294,0.18813864367152305,0.05718883247877145,0.5112709657343578
Cyprus2007,19,728566,24077470572,Cyprus,2007,0.16951518462294424,0.15811333496210364,0.29039098722696366,0.13362825056343558,0.19034926142586944,0.05800298119868344,0.5112481230252304
Cyprus2008,41,747034,27839460964,Cyprus,2008,0.16954917714588627,0.16176907610630842,0.29033350557002763,0.1277733008136176,0.19241025174222323,0.05816468862193688,0.5117424374258736
Cyprus2009,32,767174,25942622951,Cyprus,2009,0.16879091314356326,0.1664081420903211,0.2894806132637446,0.12261755481807256,0.19434313467349,0.0583596420108085,0.5129214493713291
Cyprus2010,38,787081,25562251656,Cyprus,2010,0.16729409044304208,0.17146646914358243,0.28769720016110156,0.11820384433114253,0.19659348910722022,0.058744906813911146,0.5142228055308158
Cyprus2011,30,800820,27427161523,Cyprus,2011,0.16483229689568193,0.17808121675282834,0.28882645288579206,0.11481481481481481,0.19694687944856523,0.05649833920231762,0.5150183561849104
Cyprus2012,36,814305,25041372222,Cyprus,2012,0.15887044780518356,0.17924610557469253,0.2898655909026716,0.1127771535235569,0.2010917285292366,0.05814897366465882,0.5154493709359516
Cyprus2013,45,813016,24084572491,Cyprus,2013,0.1511187971700434,0.17757338108967105,0.29081715488994064,0.1123237427061706,0.2070746455174314,0.061092278626742894,0.5151719031359776
Cyprus2014,44,804818,23359294149,Cyprus,2014,0.149212617014033,0.17505199933401092,0.28616159181330436,0.11414257633402831,0.21112599370292415,0.06430522180169927,0.5159216120911808
Cyprus2015,40,796037,19676167240,Cyprus,2015,0.14626330183144753,0.17366906312143782,0.2830848314839637,0.115068771928943,0.21547867749865898,0.06643535413554898,0.5155313132429774
Cyprus2016,36,711344,20153871681,Cyprus,2016,NA,NA,NA,NA,NA,NA,0.5183300906453137
Czech Republic1990,1997,9710900,40477403220,Czech Republic,1990,0.15764759188128805,0.14397223738273487,0.2933198776632444,0.16183875850848017,0.18721230781904868,0.056009226745203845,0.5157194492786457
Czech Republic1991,1904,9667500,29675502270,Czech Republic,1991,0.1622342901474011,0.1408844065166796,0.29750193948797515,0.15587276958882854,0.18929402637703646,0.05421256788207913,0.516400310318076
Czech Republic1992,1991,9681900,34590052812,Czech Republic,1992,0.16674413080077258,0.13899131368842893,0.3015523812474824,0.15039403422881872,0.19075801237360435,0.051560127660893004,0.5162623038866339
Czech Republic1993,1917,9703400,40614350197,Czech Republic,1993,0.1708782488612239,0.13788981181853782,0.3044602922686893,0.145268668714059,0.1925819815734691,0.04892099676402086,0.5161180617103284
Czech Republic1994,1872,9723700,47554674591,Czech Republic,1994,0.17419295124283965,0.1383115480732643,0.3058815060110863,0.14054320886082458,0.19355800775424992,0.047512778057735225,0.5159147238191224
Czech Republic1995,1733,9744300,59775697061,Czech Republic,1995,0.17568219369272292,0.13995874511252732,0.30587112465749206,0.13697238385517688,0.19346694990917768,0.04804860277290313,0.5157066182280923
Czech Republic1996,1568,9763900,66985765439,Czech Republic,1996,0.17506324317127378,0.14211534325423242,0.3052059115722201,0.1348129333565481,0.19316051987423058,0.049642048771494994,0.5154088018107519
Czech Republic1997,1666,9786700,61792161168,Czech Republic,1997,0.17309205350118018,0.14490073262693248,0.30445400390325644,0.13297638632021008,0.19286378452389466,0.05171303912452614,0.5151378912197165
Czech Republic1998,1613,9808300,66490372105,Czech Republic,1998,0.1695808651856081,0.14812964530040884,0.30364079402139005,0.13113383562900807,0.1936523148761763,0.053862544987408625,0.514941427158631
Czech Republic1999,1610,9819215,64867483193,Czech Republic,1999,0.16450449450388854,0.15179706320719122,0.30319358523059126,0.12884013640601616,0.19572603308920317,0.05593868756310968,0.514745934374591
Czech Republic2000,1649,9819742,61649492817,Czech Republic,2000,0.15900438117416935,0.156272231999578,0.30328067682429943,0.1255264140340958,0.19807506144255113,0.05784123452530627,0.5145771650619742
Czech Republic2001,1623,9838083,67523642262,Czech Republic,2001,0.15491808719239308,0.16081242656724892,0.3015326258174484,0.12237160430543227,0.20146313057127085,0.05890212554620651,0.5135975169146265
Czech Republic2002,1534,9752463,81910771994,Czech Republic,2002,0.14979815868053023,0.16478934603494522,0.29834565893764475,0.11860244945302535,0.20779417466131375,0.06067021223254064,0.5145711396187814
Czech Republic2003,1719,9748550,99627140274,Czech Republic,2003,0.14573510932395073,0.16951095291094573,0.29468495314687826,0.11469890393956024,0.21323335265244575,0.062136728026219286,0.5142627365095321
Czech Republic2004,1583,9746647,119162172468,Czech Republic,2004,0.1419637953441835,0.17364710140830997,0.29213985076098475,0.1107089443169533,0.21789975568008157,0.0636405524894869,0.5141867762318673
Czech Republic2005,1565,9761733,136280689891,Czech Republic,2005,0.13918112695768262,0.17618090968068886,0.2905034382726919,0.10670789705065689,0.22224691046149286,0.06517971757678682,0.5135564556006602
Czech Republic2006,1400,9780319,155463807113,Czech Republic,2006,0.13791002113530243,0.1769194849370455,0.2892110165322828,0.1026419485908384,0.22659843712664177,0.06671909167788903,0.5129920608929014
Czech Republic2007,1379,9818295,189227050760,Czech Republic,2007,0.13696013411697244,0.17671856467950903,0.288742801066784,0.0990102660390628,0.23055836069297164,0.0680098734047001,0.5122312988151202
Czech Republic2008,1379,9899594,235718586901,Czech Republic,2008,0.13598971836622795,0.17525243964550466,0.2898638065359044,0.09591544865375287,0.23409636799246514,0.06888221880614498,0.5109615606458204
Czech Republic2009,1464,9937407,206179982164,Czech Republic,2009,0.13396824745127175,0.17179401024834748,0.29270814811147416,0.09398186066043183,0.23803442890081888,0.06951330462765588,0.5102897566739493
Czech Republic2010,1502,9945273,207477857919,Czech Republic,2010,0.13026037595951362,0.16733256090607065,0.2960629637818891,0.09392612952907377,0.24237182830476348,0.07004614151868933,0.5105415406897327
Czech Republic2011,1590,9906318,227948349666,Czech Republic,2011,0.12460623614142005,0.16056328900404773,0.3002364753483585,0.09504086180152908,0.24879930161741223,0.07075383608723242,0.5103332035171897
Czech Republic2012,1658,9923127,207376427021,Czech Republic,2012,0.12005620808843825,0.1558172136666194,0.30324543866061576,0.09720363349174106,0.2525496247301884,0.07112788136239716,0.510148464289533
Czech Republic2013,1577,9936780,209402444996,Czech Republic,2013,0.11545611354986222,0.1512054206694724,0.3064007656403785,0.10010274958286286,0.25520067869068247,0.07163427186674154,0.5101253122238794
Czech Republic2014,1489,9963127,207818330724,Czech Republic,2014,0.11099808323230247,0.14691632456356324,0.31018323865589587,0.10313619408846239,0.2563547568950993,0.07241140256467674,0.5100541225661381
Czech Republic2015,1387,9989325,186829940546,Czech Republic,2015,0.10687979418028745,0.14373393597665507,0.31341557112217294,0.10597172481624134,0.25637107612376214,0.0736278977808811,0.5098345483803961
Czech Republic2016,1318,8929942,195305084919,Czech Republic,2016,NA,NA,NA,NA,NA,NA,0.5123748844057442
Denmark1994,999,4874900,156162311732,Denmark,1994,0.14502861597160968,0.16548031754497528,0.30517549077929806,0.11548954850355905,0.19450655398059447,0.07431947321996349,0.5079693942439845
Denmark1995,924,4889100,185006961302,Denmark,1995,0.1426642940418482,0.16508150784397946,0.30709128469452457,0.11627906976744186,0.193880264261316,0.07500357939088993,0.5078644331267513
Denmark1996,892,4917300,187632400366,Denmark,1996,0.13912106237162672,0.16500925304537042,0.30899070628190267,0.11858133528562423,0.19337848006019565,0.07491916295528034,0.5075752953856791
Denmark1997,817,4937300,173537588008,Denmark,1997,0.13446620622607497,0.16492819962327587,0.310027747959411,0.1209567982500557,0.194316731816985,0.07530431612419744,0.5074230854920706
Denmark1998,763,4956400,176992000955,Denmark,1998,0.1300137196352191,0.1635461221854572,0.3101444596884836,0.12394076345734807,0.196856589460092,0.07549834557340004,0.5073642159631991
Denmark1999,762,4976200,177965224621,Denmark,1999,0.12618082070656325,0.1611225433061372,0.31000803826212775,0.1268118242835899,0.20036674570957758,0.07551002773200434,0.5071663116434227
Denmark2000,728,4998610,164158800460,Denmark,2000,0.12226598994520477,0.15857508387331679,0.3090343115386077,0.1297760777496144,0.20474011775273526,0.07560841914052106,0.5070639637819314
Denmark2001,727,5018451,164791416350,Denmark,2001,0.11938106001234246,0.15499862407742948,0.3079254933444603,0.13201364325366532,0.21008952762515765,0.07559165168694483,0.5068701477806599
Denmark2002,688,5041222,178635160297,Denmark,2002,0.11801047444448985,0.1505103326137988,0.3070021514624827,0.13401968808356388,0.21516548963723478,0.07529186375843,0.5066747705219091
Denmark2003,633,5056783,218095997085,Denmark,2003,0.11695538448060754,0.14741051771452324,0.3059567713307057,0.13520987552758346,0.21953641277468303,0.07493103817189703,0.5065117486749975
Denmark2004,661,5072927,251373036671,Denmark,2004,0.11680810703564234,0.14482427994725727,0.30458254179490457,0.1357999040790455,0.22316347150274388,0.07482169564040642,0.506416118347455
Denmark2005,631,5089852,264467308109,Denmark,2005,0.11752031296784268,0.1422850801948662,0.30327463352568995,0.13567644010081237,0.22657318916149233,0.07467034404929652,0.5062850550467872
Denmark2006,650,5110460,282884912894,Denmark,2006,0.11947124133639633,0.1388039432849489,0.3025625873209065,0.13499391444214415,0.22953706711333227,0.0746312465022718,0.5060186362871444
Denmark2007,581,5133001,319423370134,Denmark,2007,0.12191230821891522,0.13494328171765405,0.3029537691498599,0.13374086621062414,0.23199761698858037,0.07445215771436631,0.5058017717121037
Denmark2008,603,5162525,353361056080,Denmark,2008,0.12511765076198178,0.1317806693430056,0.3020959704795618,0.1320082711463867,0.23476438370758496,0.07423305456147912,0.5055024430874426
Denmark2009,622,5192790,321241396034,Denmark,2009,0.1280658374399889,0.12902794066388204,0.30118548988116217,0.13056333878319748,0.23694564964113704,0.0742117435906324,0.50536821246382
Denmark2010,563,5217785,321995350347,Denmark,2010,0.13087373281957765,0.126011708033198,0.30051774843156626,0.12877015821847776,0.23915128737577343,0.07467536512140688,0.5053721071297494
Denmark2011,589,5244150,344003209696,Denmark,2011,0.13279082406109666,0.12399950420945244,0.29928777780955923,0.1274057759598791,0.24124691322711975,0.07526920473289284,0.5052429850404737
Denmark2012,661,5270539,327148899962,Denmark,2012,0.1344492470314706,0.12318474448249031,0.29686413476875895,0.1260738228101528,0.2431516017621727,0.07627644914495463,0.5050094496976495
Denmark2013,610,5299698,343584385594,Denmark,2013,0.1354052627149698,0.1228392636712507,0.29441036074131016,0.12532638652240186,0.24467639476815473,0.07734233158191278,0.504876315593832
Denmark2014,629,5339166,352993633221,Denmark,2014,0.13572700305628257,0.12353577319004504,0.2919330472212327,0.12432915552728648,0.2456164502096395,0.07885857079551375,0.504454815602287
